"rt","accuracy","trial_type","trial_index","time_elapsed","internal_node_id","recall","stimuli","set_size"
"1315","0","symmetry-judgement-task","5","25718","0.0-4.0-0.0-1.0","","",""
"617","0","symmetry-judgement-task","8","27445","0.0-4.0-0.0-1.1","","",""
"379","0","symmetry-judgement-task","11","28944","0.0-4.0-0.0-1.2","","",""
"1871","0","spatial-span-recall","13","30821","0.0-4.0-1.0","14","1,2,0,0,1,3","3"
"1216","1","symmetry-judgement-task","16","34344","0.0-4.0-0.1-1.3","","",""
"438","0","symmetry-judgement-task","19","35882","0.0-4.0-0.1-1.4","","",""
"728","1","symmetry-judgement-task","22","37725","0.0-4.0-0.1-1.5","","",""
"339","1","symmetry-judgement-task","25","39184","0.0-4.0-0.1-1.6","","",""
"1329","0","spatial-span-recall","27","40520","0.0-4.0-1.1","","1,3,2,0,0,2,0,1","4"
"871","0","symmetry-judgement-task","30","43452","0.0-4.0-0.2-1.7","","",""
"501","0","symmetry-judgement-task","33","45013","0.0-4.0-0.2-1.8","","",""
"374","0","symmetry-judgement-task","36","46482","0.0-4.0-0.2-1.9","","",""
"387","1","symmetry-judgement-task","39","47979","0.0-4.0-0.2-1.10","","",""
"706","0","spatial-span-recall","41","48691","0.0-4.0-1.2","","0,2,0,1,2,1,1,1","4"
"924","1","symmetry-judgement-task","44","51760","0.0-4.0-0.3-1.11","","",""
"464","0","symmetry-judgement-task","47","53345","0.0-4.0-0.3-1.12","","",""
"699","1","symmetry-judgement-task","50","55151","0.0-4.0-0.3-1.13","","",""
"756","0","spatial-span-recall","52","55915","0.0-4.0-1.3","","2,0,1,1,1,0","3"
"482","0","symmetry-judgement-task","55","58584","0.0-4.0-0.4-1.14","","",""
"134","1","symmetry-judgement-task","58","59841","0.0-4.0-0.4-1.15","","",""
"326","1","symmetry-judgement-task","61","61285","0.0-4.0-0.4-1.16","","",""
"1237","0","spatial-span-recall","63","62528","0.0-4.0-1.4","","3,0,0,3,2,2","3"
"401","1","symmetry-judgement-task","66","65260","0.0-4.0-0.5-1.17","","",""
"396","0","symmetry-judgement-task","69","66773","0.0-4.0-0.5-1.18","","",""
"381","1","symmetry-judgement-task","72","68283","0.0-4.0-0.5-1.19","","",""
"397","1","symmetry-judgement-task","75","69803","0.0-4.0-0.5-1.20","","",""
"707","0","spatial-span-recall","77","70516","0.0-4.0-1.5","","3,1,3,2,0,2,0,1","4"
"414","1","symmetry-judgement-task","80","73002","0.0-4.0-0.6-1.21","","",""
"370","0","symmetry-judgement-task","83","74493","0.0-4.0-0.6-1.22","","",""
"578","1","symmetry-judgement-task","86","76186","0.0-4.0-0.6-1.23","","",""
"425","0","symmetry-judgement-task","89","77723","0.0-4.0-0.6-1.24","","",""
"775","0","spatial-span-recall","91","78503","0.0-4.0-1.6","","0,1,2,1,0,3,3,0","4"
"450","0","symmetry-judgement-task","94","81117","0.0-4.0-0.7-1.25","","",""
"574","1","symmetry-judgement-task","97","82783","0.0-4.0-0.7-1.26","","",""
"444","1","symmetry-judgement-task","100","84305","0.0-4.0-0.7-1.27","","",""
"532","0","spatial-span-recall","102","84844","0.0-4.0-1.7","","2,3,0,0,1,1","3"
"766","1","symmetry-judgement-task","105","87687","0.0-4.0-0.8-1.28","","",""
"377","0","symmetry-judgement-task","108","89184","0.0-4.0-0.8-1.29","","",""
"458","0","symmetry-judgement-task","111","90766","0.0-4.0-0.8-1.30","","",""
"355","0","symmetry-judgement-task","114","92210","0.0-4.0-0.8-1.31","","",""
"431","1","symmetry-judgement-task","117","93717","0.0-4.0-0.8-1.32","","",""
"559","0","spatial-span-recall","119","94282","0.0-4.0-1.8","","2,3,3,3,0,0,1,0,1,3","5"
